iter	RMSE
0	9.540102538
1	9.265370922
2	9.012288819
3	8.769635806
4	8.552981967
5	8.34364695
6	8.144577264
7	7.947664274
8	7.715259207
9	7.532299143
10	7.333457087
11	7.147559007
12	6.969859875
13	6.814047349
14	6.680078127
15	6.532721243
16	6.405904923
17	6.278350966
18	6.140125043
19	6.018041876
20	5.906978107
21	5.805413311
22	5.701093201
23	5.618377892
24	5.550333883
25	5.476236297
26	5.422436073
27	5.347084528
28	5.277005883
29	5.197203343
30	5.1317725
31	5.068391012
32	5.007990893
33	4.945692424
34	4.890974567
35	4.843237353
36	4.788312815
37	4.748896061
38	4.709683315
39	4.6688958
40	4.638709334
41	4.604285914
42	4.568369236
43	4.540220985
44	4.515512229
45	4.493666039
46	4.471098315
47	4.442843808
48	4.420472896
49	4.396159558
50	4.374501318
51	4.357973034
52	4.321252273
53	4.292227961
54	4.276150078
55	4.251242482
56	4.241490642
57	4.223232087
58	4.209741344
59	4.187217373
60	4.174030035
61	4.16129741
62	4.150195493
63	4.134580819
64	4.118755323
65	4.095346576
66	4.073798569
67	4.056647131
68	4.042378486
69	4.030435434
70	4.021406055
71	4.00407479
72	3.99724662
73	3.987854197
74	3.971239166
75	3.957662919
76	3.939769978
77	3.928545086
78	3.9213279
79	3.913536472
80	3.899931966
81	3.886601017
82	3.869985629
83	3.849525954
84	3.834619831
85	3.823747295
86	3.818282646
87	3.811457615
88	3.802481434
89	3.791046189
90	3.781686373
91	3.775990021
92	3.764588142
93	3.755345982
94	3.749197762
95	3.736881526
96	3.733214853
97	3.727651835
98	3.717108376
99	3.704213177
100	3.697375253
101	3.687879173
102	3.68292292
103	3.6759844
104	3.670342005
105	3.665628709
106	3.65998766
107	3.655073696
108	3.64871315
109	3.639748841
110	3.634288732
111	3.628684778
112	3.621609628
113	3.620268626
114	3.615349106
115	3.609662576
116	3.603674169
117	3.589387181
118	3.583577605
119	3.571842637
120	3.567503569
121	3.561952235
122	3.54378097
123	3.527850096
124	3.524029174
125	3.519313404
126	3.51662443
127	3.513646254
128	3.509166075
129	3.505521721
130	3.500626039
131	3.496792512
132	3.483477323
133	3.473344483
134	3.469292078
135	3.461464775
136	3.459920922
137	3.455492205
138	3.452665784
139	3.449413487
140	3.443191019
141	3.438569023
142	3.432456961
143	3.424130787
144	3.421326043
145	3.418181485
146	3.414079704
147	3.413112457
148	3.40906412
149	3.403832853
150	3.400144954
151	3.398145928
152	3.386973996
153	3.383166265
154	3.377219681
155	3.373215095
156	3.370030484
157	3.366057787
158	3.363449318
159	3.362779201
160	3.358362497
161	3.356982752
162	3.352706753
163	3.350302702
164	3.348204481
165	3.346440753
166	3.343814456
167	3.340564392
168	3.330270392
169	3.326541935
170	3.323873428
171	3.314353562
172	3.311452686
173	3.307991617
174	3.304930875
175	3.294449873
176	3.289416789
177	3.287875011
178	3.277088295
179	3.274207886
180	3.270833882
181	3.268415063
182	3.259223013
183	3.254411016
184	3.251006731
185	3.247486147
186	3.241798397
187	3.238729985
188	3.237312404
189	3.234252649
190	3.23148808
191	3.227019305
192	3.223232997
193	3.216127135
194	3.212172302
195	3.20904234
196	3.205175285
197	3.204133073
198	3.201026367
199	3.194694102
200	3.193539285
201	3.191478176
202	3.188872458
