iter	Passed	Remaining
0	3	3211
1	9	4830
2	13	4598
3	17	4256
4	20	4083
5	23	3870
6	28	3982
7	30	3788
8	34	3784
9	40	3971
10	59	5351
11	63	5236
12	68	5204
13	72	5103
14	76	5019
15	80	4944
16	84	4895
17	88	4845
18	93	4815
19	97	4794
20	102	4758
21	108	4809
22	112	4765
23	115	4713
24	119	4674
25	123	4632
26	127	4595
27	130	4523
28	136	4568
29	139	4515
30	144	4514
31	147	4467
32	151	4437
33	155	4409
34	158	4356
35	161	4315
36	163	4266
37	166	4210
38	169	4173
39	171	4125
40	174	4080
41	176	4035
42	179	3990
43	182	3959
44	185	3936
45	187	3895
46	190	3858
47	193	3829
48	195	3799
49	197	3760
50	201	3745
51	204	3734
52	207	3704
53	210	3685
54	212	3657
55	215	3629
56	217	3603
57	220	3577
58	223	3571
59	226	3556
60	230	3545
61	234	3541
62	237	3526
63	240	3512
64	243	3507
65	246	3493
66	249	3470
67	251	3452
68	254	3440
69	258	3440
70	262	3431
71	265	3415
72	267	3401
73	273	3418
74	278	3435
75	282	3437
76	286	3435
77	291	3441
78	295	3447
79	300	3459
80	308	3500
81	312	3496
82	317	3504
83	320	3493
84	324	3497
85	329	3502
86	332	3491
87	335	3477
88	338	3465
89	341	3453
90	344	3441
91	348	3436
92	352	3438
93	355	3423
94	358	3416
95	360	3398
96	364	3390
97	367	3380
98	370	3371
99	373	3358
100	376	3350
101	378	3336
102	381	3323
103	385	3320
104	388	3313
105	392	3309
106	396	3306
107	399	3302
108	404	3305
109	407	3294
110	411	3298
111	416	3298
112	420	3301
113	425	3305
114	428	3301
115	433	3307
116	443	3347
117	448	3353
118	458	3395
119	464	3408
120	468	3406
121	474	3417
122	478	3412
123	483	3413
124	486	3407
125	490	3405
126	495	3403
127	498	3396
128	502	3390
129	507	3395
130	512	3402
131	516	3398
132	520	3390
133	523	3385
134	528	3386
135	531	3374
136	535	3371
137	538	3364
138	541	3355
139	545	3349
140	548	3341
141	551	3331
142	554	3320
143	556	3309
144	560	3304
145	564	3301
146	567	3295
147	572	3294
148	574	3282
149	578	3276
150	581	3267
151	584	3263
152	587	3252
153	590	3243
154	592	3232
155	595	3222
156	597	3210
157	600	3199
158	604	3197
159	606	3186
160	609	3178
161	614	3176
162	619	3183
163	625	3186
164	629	3184
165	633	3182
166	640	3192
167	645	3194
168	649	3192
169	653	3188
170	658	3190
171	661	3186
172	665	3183
173	669	3177
174	674	3180
175	678	3177
176	683	3177
177	687	3175
178	690	3167
179	695	3169
180	699	3165
181	703	3161
182	707	3158
183	712	3160
184	716	3157
185	722	3162
186	726	3159
187	730	3154
188	734	3150
189	738	3148
190	742	3142
191	746	3143
192	750	3136
193	753	3128
194	756	3121
195	758	3112
196	762	3106
197	765	3100
198	768	3094
199	771	3087
200	774	3080
201	778	3073
202	780	3065
203	784	3063
204	788	3059
205	793	3057
206	796	3051
207	800	3048
208	804	3044
209	807	3036
210	810	3030
211	813	3023
212	817	3018
213	819	3011
214	822	3004
215	825	2996
216	828	2988
217	831	2981
218	833	2972
219	837	2969
220	841	2964
221	845	2961
222	848	2954
223	851	2948
224	855	2945
225	858	2939
226	861	2935
227	864	2928
228	868	2925
229	872	2920
230	875	2914
231	879	2912
232	882	2905
233	885	2899
234	888	2893
235	892	2889
236	895	2882
237	899	2879
238	903	2877
239	907	2874
240	913	2875
