sfov,8x0.625,16x0.625,32x0.625,64x0.625,128x0.625,160x0.625,192x0.625,224x0.625,256x0.625
small head,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
pediatric head,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
head,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
pediatric body,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
small body,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
medium body,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
large body,1.65,1.29,1.1,1,1,0.98,0.97,0.95,0.94
cardiac small,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
cardiac medium,1.65,1.29,1.1,1,1,0.97,0.96,0.94,0.94
cardiac large,1.65,1.29,1.1,1,1,0.98,0.97,0.95,0.94
