scan_protocol_no,scan_protocol_name,scan_series,Speed,Type,Rows,HiRes,Shuttle,Tilt,SFOV,kV,SmartmA,NoiseIndex,MinmA,MaxmA,Message,Timer,Light,CTDI,CTDI NV,DLP,DLP NV,mA, pitch
1.5, QQ Brain-Head Routine TFI-H,Series 1,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,4,150,515,102,0,0,55.19,1000,1880.49,1000,,
1.3, Dental non-Helical,,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,140, true,18,80,150,101,0,0,29.72,1000,475.46,1000,,
1.4, QQ Brain non-Helical Routine,,1, Axial,256, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,66.38,1000,1062.1,1000,,
1.11, Head CTA 1Volume SmartPrep Routine,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.11, Head CTA 1Volume SmartPrep Routine,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 1 Group 1 Recon 1 Recon Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 3 Group 2 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.2, Brain Helical Routine,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,515,101,0,0,55.14,1000,1216.97,1000,,
1.2, Brain Helical Routine,Series 3 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,515,101,0,0,55.14,1000,1327.24,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,200,515,101,0,0,49.01,1000,885.7,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 3 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,48.82,1000,881.4,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 3 Group 2 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,48.82,1000,881.4,1000,,
1.14, Head-Neck CTA Helical SmartPrep Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, false,11.6,200,700,101,0,0,6.63,1000,218.13,1000,,
1.14, Head-Neck CTA Helical SmartPrep Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, false,8,200,570,101,0,0,34.33,1000,1129.16,1000,,
1.13, Head Perfusion Routine,Series 2 Group 1 Scan Settings ,0.35, Axial, SmartCollimation, false, false, S0.0, Adult Head,80,285,,,,101,0,0,202.74,1000,3243.76,1000,,
1.19, QQ (Plain),Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.19, QQ (Plain),Series 3 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.2, QQ (Plain + CE 2Phase),Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.2, QQ (Plain + CE 2Phase),Series 3 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.2, QQ (Plain + CE 2Phase),Series 4 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.21, AI,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,100, true,2,350,700,101,0,0,76.58,1000,1383.91,1000,,
1.21, AI,Series 3 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Medium,100, true,6,300,720,102,0,2,14.03,1000,969.02,1000,,
1.22, GSI - Head Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,1866.67,1000,395,33
1.22, GSI - Head Helical,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,2035.9,1000,395,33
1.15, GSIX - Head CTA Helical SmartPrep Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,35.65,1000,643.79,1000,280,33
1.15, GSIX - Head CTA Helical SmartPrep Routine,Series 3 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,30.08,1000,543.26,1000,280,33
1.23, GSI - Neck CTA SmartPrep,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,120,,,,,101,0,0,8.8,1000,317.43,1000,185,127
1.23, GSI - Neck CTA SmartPrep,Series 3 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,120,,,,,101,0,0,8.8,1000,317.43,1000,185,127
1.1, Brain 100mm 2Volume,Series 2 Group 1 Scan Settings ,1, Axial,160, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,76.05,1000,1368.94,1000,,
1.1, Brain 100mm 2Volume,Series 3 Group 1 Scan Settings ,1, Axial,160, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,63.38,1000,1140.79,1000,,
1.16, GSIX - Head-Neck CTA Helical SmartPrep Routine ,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,35.65,1000,643.79,1000,280,33
1.16, GSIX - Head-Neck CTA Helical SmartPrep Routine ,Series 3 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,15.76,1000,518.42,1000,280,63
1.6, Brain non-Helical Routine,Series 2 Group 1 Scan Settings ,1, Axial,256, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,66.38,1000,1062.1,1000,,
1.6, Brain non-Helical Routine,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,55.32,1000,885.08,1000,,
1.9, Dental Helical 140kV Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,140, true,17,80,130,101,0,2,33.38,1000,602.74,1000,,
1.7, Brain Head Routine TFI-H,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,4,150,515,102,0,0,55.19,1000,2432.42,1000,,
1.8, GSIX - Head Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,1866.67,1000,395,33
1.8, GSIX - Head Helical,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,2035.9,1000,395,33
